Airline,Source,Destination,Duration,Total_Stops,Price,status,Many_Stops,Dep_hour,Arrival_hour,Dep_period,Journey_day,Journey_month,Journey_weekday,Is_weekend,Is_long_flight
IndiGo,Banglore,Delhi,2.83,0,3897,economy,0,22,1,Night,24,3,6,1,0
Air India,Kolkata,Banglore,7.42,2,7662,economy,0,5,13,Early_Morning,1,5,2,0,0
Jet Airways,Delhi,Cochin,19.0,2,13882,economy,0,9,4,Morning,9,6,6,1,0
IndiGo,Kolkata,Banglore,5.42,1,6218,economy,0,18,23,Night,12,5,6,1,0
IndiGo,Banglore,Delhi,4.75,1,13302,economy,0,16,21,Afternoon,1,3,4,0,0
SpiceJet,Kolkata,Banglore,2.42,0,3873,economy,0,9,11,Morning,24,6,0,0,0
Jet Airways,Banglore,Delhi,15.5,1,11087,economy,0,18,10,Night,12,3,1,0,0
Jet Airways,Banglore,Delhi,21.08,1,22270,economy,0,8,5,Morning,1,3,4,0,0
Jet Airways,Banglore,Delhi,25.5,1,11087,economy,0,8,10,Morning,12,3,1,0,1
Multiple carriers,Delhi,Cochin,7.83,1,8625,economy,0,11,19,Morning,27,5,0,0,0
Air India,Delhi,Cochin,13.25,1,8907,economy,0,9,23,Morning,1,6,5,1,0
IndiGo,Kolkata,Banglore,2.58,0,4174,economy,0,20,22,Night,18,4,3,0,0
Air India,Chennai,Kolkata,2.25,0,4667,economy,0,11,13,Morning,24,6,0,0,0
Jet Airways,Kolkata,Banglore,12.17,1,9663,economy,0,21,9,Night,9,5,3,0,0
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,17,19,Afternoon,24,4,2,0,0
Air India,Delhi,Cochin,26.58,2,14011,economy,0,16,19,Afternoon,3,3,6,1,1
SpiceJet,Delhi,Cochin,4.5,1,5830,economy,0,8,13,Morning,15,4,0,0,0
Jet Airways,Delhi,Cochin,22.58,1,10262,economy,0,14,12,Afternoon,12,6,2,0,0
Air India,Delhi,Cochin,23.0,2,13381,economy,0,20,19,Night,12,6,2,0,0
Jet Airways,Delhi,Cochin,20.58,1,12898,economy,0,16,12,Afternoon,27,5,0,0,0
GoAir,Delhi,Cochin,5.17,1,19495,economy,0,14,19,Afternoon,6,3,2,0,0
Air India,Banglore,Delhi,15.33,1,6955,economy,0,22,13,Night,21,3,3,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,4,6,Early_Morning,3,4,2,0,0
IndiGo,Banglore,Delhi,2.92,0,4823,economy,0,18,21,Night,1,5,2,0,0
Jet Airways,Kolkata,Banglore,13.33,1,7757,economy,0,18,8,Night,6,5,0,0,0
Jet Airways,Delhi,Cochin,15.17,2,13292,economy,0,21,12,Night,9,6,6,1,0
IndiGo,Delhi,Cochin,5.75,1,8238,economy,0,21,3,Night,1,6,5,1,0
GoAir,Delhi,Cochin,5.92,1,7682,economy,0,7,12,Morning,15,5,2,0,0
Vistara,Banglore,Delhi,2.83,0,4668,economy,0,9,12,Morning,18,6,1,0,0
Vistara,Chennai,Kolkata,2.25,0,3687,economy,0,7,9,Morning,15,6,5,1,0
Vistara,Chennai,Kolkata,2.25,0,3687,economy,0,7,9,Morning,18,6,1,0,0
Air India,Kolkata,Banglore,13.42,2,13227,economy,0,9,23,Morning,1,5,2,0,0
IndiGo,Banglore,Delhi,2.83,0,4423,economy,0,4,6,Early_Morning,6,4,5,1,0
Jet Airways,Delhi,Cochin,22.0,2,10919,economy,0,14,12,Afternoon,15,6,5,1,0
Jet Airways,Delhi,Cochin,5.5,1,12373,economy,0,7,12,Morning,18,5,5,1,0
IndiGo,Delhi,Cochin,10.42,1,5894,economy,0,10,21,Morning,27,6,3,0,0
SpiceJet,Kolkata,Banglore,5.25,1,4649,economy,0,15,20,Afternoon,21,5,1,0,0
Air India,Kolkata,Banglore,2.5,0,6245,economy,0,14,16,Afternoon,18,5,5,1,0
Jet Airways,Banglore,Delhi,6.25,1,19225,economy,0,7,13,Morning,6,3,2,0,0
Jet Airways,Delhi,Cochin,11.92,1,14924,economy,0,7,19,Morning,3,6,0,0,0
Multiple carriers,Delhi,Cochin,11.08,1,9646,economy,0,7,18,Morning,21,5,1,0,0
Air India,Banglore,Delhi,8.5,1,8714,economy,0,6,15,Morning,15,3,4,0,0
Jet Airways,Delhi,Cochin,22.08,1,12373,economy,0,20,19,Night,18,5,5,1,0
Air Asia,Banglore,Delhi,2.75,0,3383,economy,0,11,13,Morning,6,5,0,0,0
Multiple carriers,Delhi,Cochin,12.0,1,13062,economy,0,9,21,Morning,21,3,3,0,0
SpiceJet,Banglore,Delhi,2.83,0,3527,economy,0,5,8,Early_Morning,24,3,6,1,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,4,6,Early_Morning,27,5,0,0,0
Air India,Chennai,Kolkata,2.25,0,4667,economy,0,11,13,Morning,3,5,4,0,0
Air India,Kolkata,Banglore,16.08,1,6117,economy,0,19,11,Night,15,5,2,0,0
Jet Airways,Delhi,Cochin,19.92,2,11150,economy,0,23,19,Night,27,6,3,0,0
Jet Airways,Delhi,Cochin,3.25,0,7202,economy,0,11,14,Morning,9,3,5,1,0
Jet Airways,Kolkata,Banglore,25.33,1,12121,economy,0,9,10,Morning,1,5,2,0,1
IndiGo,Banglore,Delhi,2.83,0,4377,economy,0,22,1,Night,24,3,6,1,0
IndiGo,Banglore,Delhi,3.0,0,3943,economy,0,21,0,Night,18,6,1,0,0
Air Asia,Banglore,Delhi,2.83,0,4483,economy,0,23,2,Night,3,4,2,0,0
Jet Airways,Kolkata,Banglore,16.25,1,14231,economy,0,19,12,Night,24,3,6,1,0
Air India,Banglore,Delhi,15.08,2,17345,economy,0,8,23,Morning,1,3,4,0,0
Vistara,Chennai,Kolkata,2.25,0,7414,economy,0,7,9,Morning,6,3,2,0,0
Multiple carriers,Delhi,Cochin,6.5,1,8073,economy,0,19,1,Night,6,5,0,0,0
Vistara,Mumbai,Hyderabad,25.08,1,12395,economy,0,15,16,Afternoon,6,3,2,0,1
Air India,Kolkata,Banglore,12.42,1,8366,economy,0,9,21,Morning,6,6,3,0,0
Air India,Delhi,Cochin,27.33,1,5117,economy,0,6,9,Morning,3,4,2,0,1
Multiple carriers,Delhi,Cochin,10.25,1,12524,economy,0,8,19,Morning,3,6,0,0,0
IndiGo,Delhi,Cochin,10.5,1,7191,economy,0,15,1,Afternoon,15,5,2,0,0
Vistara,Chennai,Kolkata,2.25,0,3687,economy,0,7,9,Morning,24,5,4,0,0
IndiGo,Delhi,Cochin,10.42,1,5894,economy,0,10,21,Morning,24,6,0,0,0
Vistara,Banglore,Delhi,2.83,0,5403,economy,0,9,12,Morning,24,4,2,0,0
Air India,Mumbai,Hyderabad,1.5,0,3625,economy,0,13,15,Afternoon,6,5,0,0,0
Air India,Delhi,Cochin,13.33,2,10861,economy,0,5,19,Early_Morning,21,5,1,0,0
IndiGo,Chennai,Kolkata,2.25,0,6297,economy,0,13,15,Afternoon,12,3,1,0,0
Jet Airways,Mumbai,Hyderabad,1.42,0,5678,economy,0,7,8,Morning,1,6,5,1,0
Jet Airways,Banglore,Delhi,26.5,1,9134,economy,0,5,8,Early_Morning,9,3,5,1,1
Multiple carriers,Delhi,Cochin,7.33,1,10791,economy,0,11,19,Morning,24,6,0,0,0
Jet Airways,Delhi,Cochin,13.5,2,12819,economy,0,23,12,Night,24,6,0,0,0
IndiGo,Delhi,Cochin,5.0,1,6893,economy,0,5,10,Early_Morning,21,3,3,0,0
Vistara,Banglore,Delhi,2.75,0,7240,economy,0,9,12,Morning,9,3,5,1,0
GoAir,Banglore,Delhi,2.83,0,3898,economy,0,11,14,Morning,3,4,2,0,0
IndiGo,Mumbai,Hyderabad,1.5,0,4049,economy,0,6,7,Morning,3,4,2,0,0
Jet Airways,Delhi,Cochin,19.08,1,10262,economy,0,17,12,Afternoon,15,6,5,1,0
SpiceJet,Chennai,Kolkata,2.25,0,3332,economy,0,8,10,Morning,21,3,3,0,0
Jet Airways,Kolkata,Banglore,14.83,1,10844,economy,0,21,12,Night,9,6,6,1,0
Jet Airways,Banglore,Delhi,2.67,0,7229,economy,0,19,22,Night,24,3,6,1,0
Jet Airways,Kolkata,Banglore,22.17,1,13941,economy,0,6,4,Morning,6,5,0,0,0
IndiGo,Delhi,Cochin,9.58,1,5894,economy,0,11,21,Morning,27,6,3,0,0
Multiple carriers,Delhi,Cochin,10.0,1,10197,economy,0,9,19,Morning,18,5,5,1,0
Jet Airways,Banglore,Delhi,21.33,1,13712,economy,0,14,11,Afternoon,6,3,2,0,0
IndiGo,Delhi,Cochin,5.42,1,5636,economy,0,2,7,Early_Morning,24,6,0,0,0
Jet Airways,Delhi,Cochin,18.75,2,13014,economy,0,9,4,Morning,6,6,3,0,0
Jet Airways,Kolkata,Banglore,12.33,1,7064,economy,0,8,20,Morning,1,4,0,0,0
Jet Airways,Kolkata,Banglore,18.0,1,10703,economy,0,20,14,Night,24,5,4,0,0
Multiple carriers,Delhi,Cochin,9.25,1,9646,economy,0,13,22,Afternoon,27,5,0,0,0
Multiple carriers,Delhi,Cochin,11.08,1,17057,economy,0,2,13,Early_Morning,6,3,2,0,0
Jet Airways,Banglore,Delhi,17.5,1,13817,economy,0,16,10,Afternoon,12,3,1,0,0
Air India,Delhi,Cochin,13.33,2,13748,economy,0,5,19,Early_Morning,6,3,2,0,0
Air India,Kolkata,Banglore,2.58,0,4880,economy,0,20,23,Night,21,4,6,1,0
IndiGo,Chennai,Kolkata,2.42,0,3540,economy,0,5,7,Early_Morning,21,6,4,0,0
SpiceJet,Banglore,Delhi,2.67,0,3257,economy,0,5,8,Early_Morning,15,5,2,0,0
Jet Airways,Banglore,Delhi,3.0,0,6478,economy,0,19,22,Night,3,6,0,0,0
Jet Airways,Mumbai,Hyderabad,1.42,0,8040,economy,0,7,8,Morning,18,6,1,0,0
